"item_id","construct","subconstruct","item_format","age_band","entry_kind","stimulus_modality","cognitive_process","response_format","engagement_affordance","adaptivity_fit","tail_discrimination","coachability_bias_risk","advantage_vs_cogat","source_name","source_url","ip_status","reuse_note"
"CX-011","complementary","task_commitment","behavioral persistence probe: child works on a challenging (near-unsolvable) puzzle with an easy 'stop' option always available; score = time-on-task and number of attempts before quitting","2-3","example_item","interactive","persistence / effort under difficulty (behavioral)","timed_tap","a plucky character cheers each attempt; the child controls when to stop, so persistence is voluntary and observable","low - fixed difficulty protocol; objectively timed, not adaptive","med - separates children who push through frustration, a key task-commitment signal, though single-task estimates are noisy","behavioral so less fakeable, but confounded with perceived difficulty, mood, and prior success experiences; ceiling if the puzzle seems fun rather than tedious","captures grit-in-action (persisting under difficulty) that a timed reasoning test cannot see; identifies determined learners early","Behavioral persistence measures discussed in the Academic Diligence Task validation","https://pmc.ncbi.nlm.nih.gov/articles/PMC4170650/","research_described","adapt_ok - behavioral-persistence tradition is public; standardize difficulty and record time/attempts objectively"
"CX-012","complementary","task_commitment","Short Grit Scale (Grit-S): 8 self-report statements on perseverance of effort and consistency of interest (e.g., 'I finish whatever I begin'), 5-point Likert","6-8","example_item","verbal","self-perception of perseverance/passion","other","'about me' slider check-in with friendly wording; only 8 items to avoid fatigue","low - fixed short self-report scale; not adaptive and too short to bank","low - self-report ceilings and modest predictive validity (meta-analytic r is small) limit high-tail separation","self-report is highly fakeable and socially desirable ('I never give up'); students learn the 'right' answers; validated only from ~age 10, so 6-8 reliability is marginal","names perseverance/passion (task commitment) that CogAT omits, but as self-report it is a weak, gameable signal best triangulated with behavior/teacher report","Short Grit Scale (Grit-S; Duckworth & Quinn, 2009)","https://sjdm.org/dmidi/files/Grit-8-item.pdf","open_license","adapt_ok - free for non-commercial research/education with attribution; do not use as a sole/primary criterion"
"CX-013","complementary","task_commitment","Grit-S informant (teacher/parent) report: rater completes the 8 grit items about a specific child in third person, 5-point Likert","K-8","item_type","verbal","observer rating of child perseverance","other","quick teacher/parent check-in embedded in a nomination workflow; 8 items keep rater burden low","low - short fixed informant scale; not adaptive","med - observer reports of grit can outperform child self-report for young ages, but rater leniency compresses the tail","rater bias/halo, inconsistent standards across teachers, and inequity risk (favoring compliant or advantaged students); parents may inflate; not child-fakeable","adds an observed task-commitment dimension CogAT lacks and is usable across K-8 where child self-report is unreliable; use with behavioral evidence","Short Grit Scale informant-report version (Duckworth & Quinn, 2009)","https://thedocs.worldbank.org/en/doc/608981538070396389-0090022018/original/DevelopmentandValidationoftheShortGritScaleGritS.pdf","open_license","adapt_ok - informant form documented in the validation paper; standardize rater training to curb bias"
"CX-014","complementary","conscientiousness","IPIP Conscientiousness self-report items from the Self-Discipline and Achievement-Striving facets (e.g., 'I get chores done right away'), 5-point accuracy scale","6-8","example_item","verbal","self-perception of conscientiousness","other","'what am I like?' quiz with plain-language items and emoji anchors to hold young attention","low - fixed Likert facet scale; not adaptive","low - self-report ceilings and social desirability blunt high-tail discrimination","fakeable and socially desirable; reading load; young children's self-insight is limited; acquiescence/response styles inflate scores","measures conscientiousness/achievement-striving that predicts sustained achievement but is absent from CogAT; complements ability with a work-habits signal","International Personality Item Pool (IPIP) - Conscientiousness facets","https://ipip.ori.org/newNEOKey.htm","public_domain","adapt_ok - IPIP is public domain (copy/edit/translate freely); simplify wording and validate for young readers"
"CX-015","complementary","conscientiousness","IPIP items converted to third person so a teacher or parent rates the child's conscientiousness (e.g., 'This student gets work done right away'), 5-point scale","K-8","item_type","verbal","observer rating of conscientiousness","other","drop-in rater form within the referral workflow; a brief facet subset keeps completion fast","low - fixed observer scale; not adaptive","med - teacher observation of work habits is informative at the tail, but leniency and halo compress it","rater bias, halo from achievement, and cross-teacher inconsistency threaten equity; parents may inflate; not child-fakeable","provides an observed work-habits signal across all K-8 grades that CogAT omits; useful where child self-report is unreliable","IPIP guidance on third-person (other-report) item format","https://ipip.ori.org/","public_domain","adapt_ok - IPIP explicitly supports third-person conversion for assessments of others; standardize rater anchors"
"CX-016","complementary","conscientiousness","parent/teacher report of early conscientiousness/effortful control for pre-readers: adult rates observable habits (finishes tasks, follows through, resists distraction), 5-point scale","K-1","item_type","verbal","observer rating of self-regulation precursors","other","short adult questionnaire with concrete behavior anchors ('puts toys away without reminders'); usable at kindergarten intake","low - fixed observer scale; not adaptive","low-med - early self-regulation is developmentally noisy, so tail separation is modest","child self-report is invalid this young, so report-based is preferred, but rater bias/halo, SES-linked expectations, and parent inflation remain; not child-fakeable","adds an early work-habits/self-regulation signal for K-1 that CogAT does not capture; report-based design avoids unreliable young self-report","IPIP third-person (other-report) conscientiousness items adapted for early grades","https://ipip.ori.org/","public_domain","adapt_ok - use IPIP public-domain items in observer form for young children; prefer behavior anchors over trait words"
"CX-017","complementary","curiosity","IPIP curiosity/inquisitiveness self-report items (e.g., 'I love to learn new things', 'I ask a lot of questions'), 5-point accuracy scale","6-8","example_item","verbal","self-perception of curiosity/intellectual engagement","other","'explorer profile' builder where answers unlock a curiosity badge; plain-language items","low - fixed Likert scale; not adaptive","low - self-report ceilings; nearly everyone endorses liking to learn, compressing the tail","highly fakeable/socially desirable; reading load; limited young self-insight; acquiescence bias","captures curiosity/intellectual engagement (a driver of gifted development) that CogAT does not assess; complements ability with motivation-to-learn","International Personality Item Pool (IPIP) - curiosity/inquisitiveness scales","https://ipip.ori.org/newIndexofScaleLabels.htm","public_domain","adapt_ok - IPIP public domain; pair self-report with a behavioral curiosity task to offset faking"
"CX-018","complementary","curiosity","uncertainty-preference behavioral curiosity task: child repeatedly chooses whether to explore certain vs uncertain options; score = threshold of desired uncertainty / exploration of the unknown","4-5","example_item","interactive","information-seeking under uncertainty (behavioral)","other","'mystery door vs known door' exploration game; picking the uncertain option triggers a reveal, making curiosity intrinsically fun","low - fixed behavioral choice protocol; objectively scored, not a CAT","med - behaviorally distinguishes high-curiosity children and avoids self-report ceilings, though single-session estimates are noisy","behavioral (not self-report) so far less fakeable and language-light (good for ELL), but choices are state-dependent and can be shaped by prior reinforcement","observes curiosity-in-action that CogAT cannot measure, and does so without reading/verbal load, broadening early identification equitably","Jirout & Klahr (2012), Children's scientific curiosity: an operational definition","https://www.cmu.edu/dietrich/psychology/pdf/klahr/PDFs/Scientific%20curiosity.pdf","research_described","adapt_ok - published behavioral paradigm; implement as a digital uncertainty-choice game and validate locally"
"CX-019","complementary","curiosity","epistemic-curiosity self-report (Joyous Exploration / Interest-type items adapted from the 5DCR and Epistemic Curiosity Inventory), e.g., 'I enjoy figuring out how things work', Likert","6-8","example_item","verbal","self-perception of epistemic curiosity","other","'what makes you wonder?' check-in with relatable scenarios; a short adapted item set","low - fixed Likert scale; not adaptive","low-med - can separate interest-driven learners, but self-report ceilings and adult-normed wording limit the tail for children","fakeable/socially desirable; the original 5DCR is adult-normed (needs child adaptation/re-validation); reading load; response styles","adds an epistemic-curiosity dimension (deprivation vs joyous exploration) entirely outside CogAT; flags intrinsically driven learners","Five-Dimensional Curiosity Scale-Revised (Kashdan et al.) / Epistemic Curiosity Inventory (Litman & Spielberger)","https://www.sciencedirect.com/science/article/abs/pii/S0191886919303289","research_described","adapt_ok - scales described in the literature; adapt wording for children and re-validate before operational use"
"CX-020","complementary","curiosity","observed question-asking / exploration during a novel 'mystery box' activity: count and quality of information-seeking questions and exploratory actions","K-1","example_item","interactive","active information seeking (behavioral)","spoken","a surprising mystery object invites 'what do you want to know?'; each question triggers a clue, rewarding inquiry","low - observational protocol with a coding scheme; not adaptive","med - rich question-asking can flag exceptionally curious young children, but requires trained observers/coding","observer coding is subjective (reliability training needed); output confounded with verbal ability and comfort with adults; shy children under-produce","captures spontaneous inquiry behavior CogAT never elicits; identifies inquisitive young learners regardless of test-taking skill","Jirout (2020), Supporting early scientific thinking through curiosity and question-asking","https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2020.01717/full","research_described","adapt_ok - public approach; needs a coded observation protocol and inter-rater reliability checks"
"CX-021","complementary","intrinsic_motivation","Intrinsic Motivation Inventory (IMI) Interest/Enjoyment subscale: self-report about a specific learning activity (e.g., 'I enjoyed doing this activity very much'), 7-point scale","6-8","example_item","verbal","self-reported task interest/enjoyment","other","post-activity 'how did that feel?' reflection tied to something the child just did, increasing relevance","low - fixed subscale referencing one activity; not adaptive","low - enjoyment ratings skew high and ceiling out, giving weak high-tail separation","self-report fakeable/socially desirable; ratings depend on the specific activity chosen; reading load; only Interest/Enjoyment indexes intrinsic motivation","measures intrinsic interest/enjoyment that fuels gifted engagement but is invisible to CogAT; complements ability with drive-to-engage","Intrinsic Motivation Inventory (IMI) - selfdeterminationtheory.org","https://selfdeterminationtheory.org/intrinsic-motivation-inventory/","open_license","adapt_ok - IMI freely available; use only the Interest/Enjoyment subscale as the intrinsic-motivation index and anchor it to a real task"
"CX-022","complementary","intrinsic_motivation","free-choice behavioral measure: after a task's requirement ends, observe whether/how long the child keeps doing it during unstructured free time (no reward offered); score = free-choice time-on-activity","2-3","item_type","interactive","intrinsic engagement (behavioral)","other","an open 'do whatever you like' period where the target activity remains available among alternatives; genuine choice reveals interest","low - observational free-choice protocol; not adaptive","med - voluntary persistence at an activity is a strong intrinsic-motivation signal at the tail, though sensitive to the available alternatives","behavioral (not self-report) so hard to fake, but confounded by novelty and the appeal of competing options; needs unobtrusive observation to avoid demand effects","observes intrinsic motivation through real behavior CogAT cannot capture; surfaces children who pursue learning for its own sake","Self-Determination Theory free-choice behavioral measure of intrinsic motivation","https://selfdeterminationtheory.org/intrinsic-motivation-inventory/","research_described","adapt_ok - classic SDT free-choice paradigm; ensure the free period is truly unrewarded and unobtrusively observed"
"CX-023","complementary","intrinsic_motivation","IMI Interest/Enjoyment adapted for pre-readers: child responds to spoken items with a pictorial (smiley-face) scale about an activity they just did","4-5","example_item","pictorial","self-reported enjoyment (young)","spoken","tap-a-face rating right after a fun activity; no reading required","low - fixed short adapted subscale; not adaptive","low - young faces-scale ratings are coarse and positively skewed, giving weak tail separation","young children acquiesce and pick the happiest face; demand characteristics from adults; self-report validity is limited at this age","gives a task-interest signal for pre-readers that CogAT omits, though it should be corroborated by free-choice behavior","Intrinsic Motivation Inventory (IMI), adapted pictorial administration - selfdeterminationtheory.org","https://selfdeterminationtheory.org/intrinsic-motivation-inventory/","open_license","adapt_ok - IMI freely available; convert to faces/oral format and treat young self-report as weak/supporting evidence"
"CX-024","complementary","situational_judgment","situational judgment test: child reads/hears a short social scenario and selects the most effective response option (emotion understanding/management items)","6-8","item_type","verbal","applied social-emotional judgment","mcq","choose-your-response story vignettes with characters; feels like an interactive comic rather than a quiz","med - closed-response SJT items can be banked and delivered adaptively once keyed","med - performance-based SJTs relate to ability EI more than to self-report and can discriminate judgment quality, though items are multidimensional","less fakeable than Likert self-report but still somewhat coachable; the scoring key can be culturally loaded; reading load; correct-response consensus can be contested","assesses applied social/emotional judgment CogAT ignores and shows less adverse impact on minorities, supporting equitable identification","MacCann & Roberts SJT-based EI (STEU/STEM) validity evidence","https://ink.library.smu.edu.sg/cgi/viewcontent.cgi?article=6611&context=lkcsb_research","research_described","adapt_ok - the SJT paradigm is public; author child-appropriate scenarios and derive a defensible scoring key"
"CX-025","complementary","situational_judgment","situational judgment test for task-approach/conscientiousness: 'your project is hard and boring - what do you do?' with options reflecting persistence vs avoidance","6-8","item_type","verbal","applied judgment about effort/self-management","mcq","relatable school dilemmas with pickable actions and instant story consequences; supports replay for reflection","med - keyed SJT items can be banked and adaptively administered","med - can separate mature self-management judgment, but many students recognize the 'good' answer, compressing the tail","partially fakeable (the socially desirable option is often guessable); reading load; multidimensional; scoring consensus needed to avoid bias","probes conscientiousness/effort judgment that CogAT never measures; engaging format is less prone to faking than Likert grit items","Mosaic by ACT SEL Assessment Technical Manual (situational judgment method)","https://www.act.org/content/dam/act/unsecured/documents/mosaic-sel-tech-manual.pdf","proprietary_describe_only","describe_only - Mosaic is a commercial assessment; use its public technical documentation to inform SJT design, not to copy items"
"CX-026","complementary","situational_judgment","animated/gamified situational judgment for young learners: an audiovisual scenario plays and the child taps the character action they think is best (curiosity/effort/prosocial choices)","2-3","item_type","interactive","applied judgment (low-literacy, audiovisual)","mcq","cartoon dilemma with voice-over and tappable characters; immersive, narrative-driven, no reading needed","med - options are closed and keyable; can be sequenced adaptively","low-med - engaging and low-literacy, but young judgment is variable and scenario realism drives validity","reduced faking vs self-report and low reading load (equity gain), but ecological validity hinges on scenario design; young responses are noisy; culturally sensitive keying required","captures early applied judgment without reading load, a signal CogAT lacks; the audiovisual format widens access for pre-readers/ELL","OECD (2024) working paper on innovative SEL assessment (SJTs, tasks, games)","https://one.oecd.org/document/EDU/WKP(2024)11/en/pdf","research_described","adapt_ok - design principles are public; build original animated scenarios and validate the scoring key with children"
"CX-027","complementary","demonstrated_achievement","portfolio of student work collected over time with student reflections on each piece; reviewed against a giftedness rubric for depth, originality, and growth","K-8","item_type","mixed","demonstrated achievement / self-reflection","other","a personal 'portfolio museum' the child curates and annotates; ownership boosts investment","low - a qualitative body of evidence; human-rated, not adaptive or auto-scored","med-high - sustained high-quality work is a strong tail signal, but rating reliability and unequal home support limit precision","authorship/home-help confound (SES bias); rater subjectivity requires ~80% exact-agreement training; time-intensive; not fakeable like a Likert, but provenance matters","documents demonstrated achievement and creativity over time that a one-shot CogAT cannot; NAGC-recommended for surfacing overlooked/young/ELL students","NAGC - Identification (portfolios, performances, multiple criteria)","https://www.nagc.org/identification","research_described","describe_only - follow NAGC guidance; build a scoring rubric with trained raters and authorship safeguards"
"CX-028","complementary","demonstrated_achievement","performance/authentic task scored by rubric: child designs and carries out a short investigation or open-ended product, rated on reasoning, originality, and follow-through","4-5","item_type","mixed","applied problem-solving / creative production","constructed","a hands-on 'design challenge' framed as a mission; the child builds/creates rather than bubbles answers","low - constructed performance; rubric-scored by trained raters, not adaptive","med-high - open tasks let exceptional talent show ceiling-free, but demand rigorous rater training for reliability","rater subjectivity (needs high exact-agreement standards); task familiarity and materials access vary by SES; coachable; authorship must be observed","reveals creativity and task commitment in action, ceiling-free, unlike CogAT's fixed items; catches students who underperform on multiple-choice","KAGE / NAGC guidance on performance assessments and portfolios in identification","https://kagegifted.org/wp-content/uploads/2011/11/section5.pdf","research_described","describe_only - use public performance-assessment guidance; enforce >=80% rater agreement and equitable materials"
"CX-029","complementary","task_commitment","self-initiated 'passion project' showcase with a structured reflection on goals, obstacles, and persistence (Renzulli Type III style demonstrated commitment)","6-8","example_item","mixed","task commitment via sustained self-directed work","constructed","the student pitches a project they chose and cares about, then reflects on how they pushed through setbacks; autonomy drives buy-in","low - qualitative product + reflection; human-rated, not adaptive","med-high - depth and follow-through on a self-chosen project strongly signal task commitment at the tail, if authorship is genuine","strong SES/home-support and authorship confound; the reflection can be coached; rater subjectivity; students with fewer resources may show less polished projects","captures sustained task commitment and passion (Renzulli) that CogAT structurally cannot; broadens identification to driven, project-oriented learners","NAGC - Identification (portfolios/performances with student reflection)","https://www.nagc.org/identification","research_described","describe_only - align to NAGC multiple-criteria guidance; score process/persistence, not just polish, to reduce SES bias"
"CX-030","complementary","demonstrated_achievement","structured 'tell me about what you made' interview: young child describes a self-chosen creation; scored for elaboration, originality of thinking, and evident persistence","K-1","example_item","verbal","demonstrated creativity/commitment via oral account","spoken","a warm show-and-tell with a friendly interviewer; the child brings a real creation and explains it","low - qualitative oral protocol; human-rated, not adaptive","low-med - can reveal precocious young makers, but oral accounts are noisy and heavily verbal","confounded with verbal ability, adult help on the creation, and comfort talking to adults (SES/ELL bias); rater subjectivity; shy children underperform","gives a demonstrated-achievement/creativity signal for pre-readers that CogAT cannot, using observation over test-taking skill","NAGC - Assessments & Tests (portfolios/observations for young children)","https://www.nagc.org/assessments-and-tests","research_described","describe_only - per NAGC, use observation/portfolio methods for under-6; code with a rubric and note authorship"
"CX-031","complementary","divergent_thinking","teacher rating scale - Creativity Characteristics dimension: teacher rates observed creative behaviors (curiosity, idea generation, risk-taking, humor) on a frequency scale","K-8","item_type","verbal","observer rating of creative behavior","other","a brief teacher checklist embedded in nomination; frequency anchors keep it fast","low - fixed observer dimension; not adaptive","med - teacher-observed creativity adds signal, but ratings are not comparable across teachers, blurring the tail","rater bias/halo and cross-teacher inconsistency (a documented weakness); may under-identify nonconforming or minority students; not child-fakeable","adds an observed creativity dimension grounded in Renzulli's three-ring model that CogAT omits; helps teachers surface creative talent","Renzulli Scales (SRBCSS) - Creativity Characteristics (Renzulli et al., 2010)","https://gifted.education.uconn.edu/wp-content/uploads/sites/612/2014/08/Scales-for-Rating-the-Behvioral-Characteristics-of-Superior-Students.pdf","proprietary_describe_only","describe_only - SRBCSS is a commercial instrument (Routledge/Prufrock); catalog dimensions only and license before use"
"CX-032","complementary","task_commitment","teacher rating scale - Motivation Characteristics dimension: teacher rates sustained absorption, persistence, and self-directed effort on tasks the student values, frequency scale","K-8","item_type","verbal","observer rating of motivation/task commitment","other","a short teacher checklist within referral; concrete behavior anchors reduce guesswork","low - fixed observer dimension; not adaptive","med - teacher-observed persistence is a useful tail signal but is compressed by leniency and inconsistent standards","rater bias/halo, cross-teacher non-comparability, and equity risk (favoring compliant students); teachers may conflate compliance with motivation; not child-fakeable","operationalizes Renzulli's task-commitment ring via teacher observation - exactly the dimension CogAT structurally excludes","Renzulli Scales (SRBCSS) - Motivation Characteristics (Renzulli et al., 2010)","https://gifted.education.uconn.edu/wp-content/uploads/sites/612/2014/08/Scales-for-Rating-the-Behvioral-Characteristics-of-Superior-Students.pdf","proprietary_describe_only","describe_only - commercial instrument; describe the Motivation dimension only; use local norms and rater training if licensed"
"CX-033","complementary","task_commitment","teacher rating scale (school form) - Motivation and Creativity scales: teacher rates each behavior on a 9-point below/at/above-peer scale (12 items per scale)","K-8","item_type","verbal","observer rating of motivation and creativity","other","a structured teacher rating tool with clear peer-referenced anchors; delivered digitally in a screening workflow","low - fixed normed scales; not adaptive","med - normed, high-internal-consistency scales aid screening, but the Motivation/Creativity scales are weaker discriminators than the Intellectual scale","teacher rater bias/halo and familiarity effects; peer-referencing helps but standards still vary; girls rated slightly higher on Motivation; not child-fakeable","provides normed teacher-rated Motivation and Creativity dimensions absent from CogAT; complements ability testing in a multi-criteria system","Gifted Rating Scales-School Form (GRS-S; Pfeiffer & Jarosewich, 2003) validation","https://pmc.ncbi.nlm.nih.gov/articles/PMC4563806/","proprietary_describe_only","describe_only - GRS is a commercial instrument (Pearson); School Form ages 6-13, Preschool/K form ages 4-6; describe scales only, license to use"
"CX-034","complementary","task_commitment","teacher rating scale (11 items) with Academic and Social/Affective components: teacher rates how often a student is an outlier vs same-age peers (e.g., 'has intense interests', 'eager to explore new concepts', 'exhibits intellectual intensity')","K-8","item_type","verbal","observer rating of gifted behaviors (motivation/curiosity/affect)","other","a very short 11-item teacher form usable by a school committee; low burden encourages broad screening","low - fixed short scale; not adaptive","med - designed for screening; measurement-invariant across low-income and diverse groups, which stabilizes the tail across subgroups","still a teacher rating (halo/leniency, cross-rater variability), but built and validated to reduce bias against low-income/culturally/linguistically diverse students; not child-fakeable","adds observed motivation, curiosity, and affective giftedness that CogAT omits, and is explicitly engineered to broaden WHO gets identified (equity - core H1 advantage)","HOPE Teacher Rating Scale (Gentry, Pereira, Peters, McIntosh, Fugate, 2015); items on public FCPS screening form","https://www.fcps.edu/system/files/forms/2023-10/hoperatingscale.pdf","proprietary_describe_only","describe_only - commercial manual (Routledge); item dimensions appear on public district forms, but license/validate before operational reuse"
